"Species","Lifespan","Mean lifespan
(±SD)","Median lifespan","Source","Original source","Original source text","Class","Number of species represented in class","Order","Number of species represented in order","Family","Number of species represented in family","Genus","Number of species represented in genus","Number of reported lifespans for species"
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 96900","Benchalel, W. and M.H. Kara , 2013 Age, growth and reproduction of the white seabream Diplodus sargus sargus (Linnaeus, 1758) off the eastern coast of Algeria. J. Appl. Ichthyol. 29(1):64-70.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 108834","Tsikliras, A.C. and K.I. Stergiou , 2015 Age at maturity of Mediterranean marine fishes. Medit. Mar. Sci. 16(1):5-20.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 108834","Tsikliras, A.C. and K.I. Stergiou , 2015 Age at maturity of Mediterranean marine fishes. Medit. Mar. Sci. 16(1):5-20.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 108834","Tsikliras, A.C. and K.I. Stergiou , 2015 Age at maturity of Mediterranean marine fishes. Medit. Mar. Sci. 16(1):5-20.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",10,"11.38 ± 3.89",10,"FishBase","FishBase ref no.: 108834","Tsikliras, A.C. and K.I. Stergiou , 2015 Age at maturity of Mediterranean marine fishes. Medit. Mar. Sci. 16(1):5-20.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Diplodus sargus",21,"11.38 ± 3.89",10,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Diplodus",1,8
"Pagrus major",26,"16.6 ± 6.69",16,"FishBase","FishBase ref no.: 56606","Druzhinin, A.D. , 1976 Sparid fishes of the world oceans. Moscow, Pishchevaya Promyshlennost, 195 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Pagrus",1,5
"Pagrus major",16,"16.6 ± 6.69",16,"FishBase","FishBase ref no.: 56606","Druzhinin, A.D. , 1976 Sparid fishes of the world oceans. Moscow, Pishchevaya Promyshlennost, 195 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Pagrus",1,5
"Pagrus major",20,"16.6 ± 6.69",16,"FishBase","FishBase ref no.: 56606","Druzhinin, A.D. , 1976 Sparid fishes of the world oceans. Moscow, Pishchevaya Promyshlennost, 195 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Pagrus",1,5
"Pagrus major",9,"16.6 ± 6.69",16,"FishBase","FishBase ref no.: 72458","Jarzhombek, A.A. , 2007 Compilation of studies on the growth of Acanthopterygii. Russian Federal Research Institute of Fisheries and Oceanography (VNIRO). 86 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Pagrus",1,5
"Pagrus major",12,"16.6 ± 6.69",16,"FishBase","FishBase ref no.: 72458","Jarzhombek, A.A. , 2007 Compilation of studies on the growth of Acanthopterygii. Russian Federal Research Institute of Fisheries and Oceanography (VNIRO). 86 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Pagrus",1,5
"Sparus aurata",11,"17.83 ± 17.72",11,"FishBase","FishBase ref no.: 7253","Campillo, A. , 1992 Les pêcheries françaises de Méditeranée: synthèse des connaissances. Institut Francais de Recherche pour l'Exploitation de la Mer, France. 206 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Sparus aurata",11,"17.83 ± 17.72",11,"FishBase","FishBase ref no.: 7253","Campillo, A. , 1992 Les pêcheries françaises de Méditeranée: synthèse des connaissances. Institut Francais de Recherche pour l'Exploitation de la Mer, France. 206 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Sparus aurata",10,"17.83 ± 17.72",11,"FishBase","FishBase ref no.: 56606","Druzhinin, A.D. , 1976 Sparid fishes of the world oceans. Moscow, Pishchevaya Promyshlennost, 195 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Sparus aurata",10,"17.83 ± 17.72",11,"FishBase","FishBase ref no.: 72458","Jarzhombek, A.A. , 2007 Compilation of studies on the growth of Acanthopterygii. Russian Federal Research Institute of Fisheries and Oceanography (VNIRO). 86 p.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Sparus aurata",54,"17.83 ± 17.72",11,"FishBase","FishBase ref no.: 92924","Kalish, J.M. , 1993 Pre- and post-bomb radiocarbon in fish otoliths. Earth and Planetary Science Letters, 114(1993):549-554.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Sparus aurata",11,"17.83 ± 17.72",11,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Sparus",1,6
"Spondyliosoma cantharus",15,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 72462","Altman, P.L. and D.S. Dittmer , 1962 Growth, including reproduction and morphological development. Federation of American Societies for Experimental Biology.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",7,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 102321","Boughamou, N., F. Derbal and M.H. Kara , 2015 Age, growth and reproduction of the black sea bream Spondyliosoma cantharus (Linnaeus, 1758) (Sparidae) in the Gulf of Annaba (Algeria). J. Appl. Ichthyol. 31:773-779.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",14,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 108926","Mouine-Oueslati, N., R. Ahlem, C. Ines, M-H. Ktari and N. Chakroun-Marzouk , 2015 Age and growth of Spondyliosoma cantharus (Sparidae) in the Gulf of Tunis. Sci. Mar. 79(3):319-324.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",11,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 108926","Mouine-Oueslati, N., R. Ahlem, C. Ines, M-H. Ktari and N. Chakroun-Marzouk , 2015 Age and growth of Spondyliosoma cantharus (Sparidae) in the Gulf of Tunis. Sci. Mar. 79(3):319-324.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",6,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 108926","Mouine-Oueslati, N., R. Ahlem, C. Ines, M-H. Ktari and N. Chakroun-Marzouk , 2015 Age and growth of Spondyliosoma cantharus (Sparidae) in the Gulf of Tunis. Sci. Mar. 79(3):319-324.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",10,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 108926","Mouine-Oueslati, N., R. Ahlem, C. Ines, M-H. Ktari and N. Chakroun-Marzouk , 2015 Age and growth of Spondyliosoma cantharus (Sparidae) in the Gulf of Tunis. Sci. Mar. 79(3):319-324.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",13,"11.78 ± 3.49",13,"FishBase","FishBase ref no.: 108926","Mouine-Oueslati, N., R. Ahlem, C. Ines, M-H. Ktari and N. Chakroun-Marzouk , 2015 Age and growth of Spondyliosoma cantharus (Sparidae) in the Gulf of Tunis. Sci. Mar. 79(3):319-324.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",15,"11.78 ± 3.49",13,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Spondyliosoma cantharus",15,"11.78 ± 3.49",13,"Max Plank Institute for Demographic Research","MPIDR ref no.: [3] [70]","Altman, P.L. and D.S. Dittmer, eds.  1962. Growth, Including Reproduction and Morphological Development.  Biological Handbooks. Washington, D. C.: Federation of American Societies for Experimental Biology.","Actinopteri",425,"Spariformes",5,"Sparidae",5,"Spondyliosoma",1,9
"Mastacembelus armatus",8,"13 ± 7.07",13,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Synbranchiformes",2,"Mastacembelidae",1,"Mastacembelus",1,2
"Mastacembelus armatus",18,"13 ± 7.07",13,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Synbranchiformes",2,"Mastacembelidae",1,"Mastacembelus",1,2
"Monopterus albus",8,"9 ± 2.16",8.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Synbranchiformes",2,"Synbranchidae",1,"Monopterus",1,4
"Monopterus albus",12,"9 ± 2.16",8.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Synbranchiformes",2,"Synbranchidae",1,"Monopterus",1,4
"Monopterus albus",7,"9 ± 2.16",8.5,"Published articles","Freeman, B.J. and Burgess, T.N., 2000. Status of the Asian rice eel, Monopterus albus, in the Chattahoochee river system, Fulton County, Georgia. Final Report to US National Park Service.",NA,"Actinopteri",425,"Synbranchiformes",2,"Synbranchidae",1,"Monopterus",1,4
