FP008387 lyrm2-1_1
FP003134 dbx1a_1
FP008017 celf3a_1
FP010474 TBC1D3G_1
FP008612 fntb_1
FP009740 zgc:173570_1
FP001370 si:dkey-204f11.64_1
FP007835 acadl_1
FP007100 slc25a32b_1
FP005322 pgp_1
FP008551 mdn1_1
FP000991 THEM6-2_1
FP006911 si:dkey-12j5.1_1
FP008076 gmeb1_1
FP001382 itga3a_1
FP002950 pdzrn3b_1
FP003771 lrrc47_1
FP002242 zgc:55461_1
FP006127 si:dkeyp-110e4.6_1
FP000278 znf654_1
FP004133 ttll4_2
FP000746 pccb_1
FP007481 fosl2_1
FP010725 glg1a_1
FP005396 si:dkey-57h18.2_1
FP010633 klf13_1
FP004854 RPL29_1
FP008232 si:dkeyp-120h9.1_1
FP006575 stard13b_2
FP004785 dcps_1
FP006933 lysmd1_1
FP008839 wdr20b_1
FP008737 ccdc25_1
FP002499 malt1b_1
FP002140 C5H9orf142_1
FP008778 taar10_1
FP006831 icn2_1
FP003055 si:dkeyp-67a8.4-1_1
FP009297 bysl_1
FP008415 exoc8_1
FP004588 im:7148292_2
FP007476 ubr1_1
FP002303 hsd20b2_1
FP001304 si:dkey-66i24.7_1
FP005314 bhlha15_1
FP007168 txlnbb_1
FP009380 gpd1b_1
FP000417 pkd2_1
FP003230 serpine1_1
FP002865 tubgcp5_1
FP009810 samd11_1
FP004808 CABZ01063556.1_1
FP004573 ppwd1_1
FP004254 dbr1_1
FP006666 ppp1r8b_1
FP001430 cln3_1
FP007171 ADCK3-2_1
FP002565 keap1b_1
FP007350 zpcx_1
FP003100 nit1_1
FP003287 adam10a_1
FP004018 actr8_1
FP006691 znf236_1
FP003162 cnpy4_1
FP001050 mhc1zaa_1
FP002504 cdca5_1
FP007125 ggctb_1
FP006771 gra_1
FP005921 fam160b1_1
FP007553 psen1_1
FP006265 bbs7_1
FP005985 smu1a_1
FP002539 mthfd2_1
FP010339 spsb3b_1
FP004514 pcyox1_1
FP006207 wnt8a-1_3
FP010059 eci2_1
FP005247 psmc5_1
FP002817 ttc4_1
FP009864 kmt2d_2
FP009101 supt6h_1
FP004915 prkacba_1
FP000283 lmo7b_1
FP002758 lrrc8c_1
FP008348 mapk15-1_1
FP009119 zgc:110782_1
FP007994 oxr1b_2
FP004745 ripk4_1
FP002317 tmem175_1
FP002302 RNF214-2_1
FP007771 rcn2_1
FP006083 ctbp1_1
FP000433 meis4.1a_1
FP000745 stag1a_1
FP004495 SLC46A2_1
FP005697 gtpbpl_2
FP002779 rae1_1
FP000639 kmt2cb_1
FP007509 ap5m1_1
FP008303 anp32e_1
FP005792 ppifa_1
FP007595 dut_2
FP008026 si:ch211-288g17.3_1
FP007594 dut_1
FP001681 optn_1
FP001233 zgc:113411_1
FP007969 cyt1l_1
FP007201 FBXO34_1
FP004626 whsc1l1_1
FP008498 eif5_1
FP002792 im:7152348_1
FP000634 sdr16c5a_1
FP002684 stk24b_1
FP003242 tp53i11a_1
FP002391 pik3r1_1
FP009607 fetub_1
FP010438 fanci_1
FP007678 zc3h18_1
FP003061 zgc:171759-9_1
FP000581 gng5_1
FP009603 fxr1_1
FP005234 pth1rb_1
FP004841 sp1_1
FP008391 nup43_1
FP009304 arl8a_1
FP006213 zgc:63568_1
FP004477 pnx_1
FP010180 myd88_1
FP008418 ttc13_1
FP002022 mapk1_1
FP004986 ubc_1
FP009535 si:dkey-179j5.5_1
FP002860 cth_1
FP003807 atp5f1_1
FP005200 si:ch211-93e11.8_1
FP004883 spcs1_1
FP002701 gmppab_1
FP008438 bloc1s2_1
FP008363 nme2b.2_1
FP007053 txnipb_1
FP002657 abi2b_1
FP010149 TIMM21_1
FP010032 si:ch73-265d7.2_1
FP007236 gpr137c_1
FP001572 tsen54_1
FP007970 zgc:92533_1
FP003847 par1_1
FP004628 pcdh1a_1
FP006684 CYTH2_1
FP008968 spna2_1
FP001391 scpep1_1
FP005386 zfp36l2_1
FP003652 anapc7_1
FP004046 rbm45_1
FP007565 spred1_1
FP009226 nup98_1
FP004097 ankrd10b_1
FP001260 si:ch211-11k18.4_1
FP007757 fam174b_1
FP005033 otud5b_1
FP009030 tnks_1
FP005965 ints10_1
FP002596 unc50_1
FP001587 zgc:173575_1
FP000435 ppp3r1b_1
FP003110 asb7_1
FP010450 sept7b_1
FP004942 elovl1b_3
FP000552 eif2b5_1
FP005044 ptpdc1_1
FP001179 spc24_1
FP006423 pih1d2_1
FP008692 snap25a_1
FP000537 polr2d_1
FP006037 slc43a3b_1
FP001057 nol12_1
FP004503 sec31a_1
FP009632 DIDO1-1_1
FP001468 zfand2a_1
FP005040 st3gal2l_1
FP005287 acbd4_1
FP003429 CT737190.3_1
FP010005 otud3_1
FP005120 mrto4_1
FP009543 ch211-250e5.16-1_1
FP002702 chpfb_1
FP001138 atp6v0ca_1
FP007059 si:dkey-7j14.6_1
FP006224 uqcrq_1
FP001309 si:dkey-66i24.9_1
FP006816 si:ch211-154o6.6_1
FP004703 pknox2_1
FP003207 gba2_1
FP005539 dlg5b.1_1
